fresh_id,title,year,venue,doi,url,query,duplicate_existing_pool,target_families,l4_tilt_priority,cited_by_count,initial_screen_note,source,duplicate_prior_targeted_screen,title_target_families,title_l4_priority,lookup_openalex_id,abstract_status,abstract,abstract_disposition_status,abstract_disposition_tier,abstract_disposition_reason,abstract_next_action
FT-L4-001,Membership Inference Attacks on Machine Learning: A Survey,2022,ACM Computing Surveys,https://doi.org/10.1145/3523273,https://doi.org/10.1145/3523273,"""large language model"" ""social network"" ""centrality""",False,l4_graph_topology;llm_agent,high,467,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,,low,https://openalex.org/W3138815606,abstract_available,"Machine learning (ML) models have been widely applied to various applications, including image classification, text generation, audio recognition, and graph data analysis. However, recent studies have shown that ML models are vulnerable to membership inference attacks (MIAs), which aim to infer whether a data record was used to train a target model or not. MIAs on ML models can directly lead to a privacy breach. For example, via identifying the fact that a clinical record that has been used to train a model associated with a certain disease, an attacker can infer that the owner of the clinical record has the disease with a high chance. In recent years, MIAs have been shown to be effective on various ML models, e.g., classification models and generative models. Meanwhile, many defense methods have been proposed to mitigate MIAs. Although MIAs on ML models form a newly emerging and rapidly growing research area, there has been no systematic survey on this topic yet. In this article, we conduct the first comprehensive survey on membership inference attacks and defenses. We provide the taxonomies for both attacks and defenses, based on their characterizations, and discuss their pros and cons. Based on the limitations and gaps identified in this survey, we point out several promising future research directions to inspire the researchers who wish to follow this area. This survey not only serves as a reference for the research community but also provides a clear description for researchers outside this research domain. To further help the researchers, we have created an online resource repository, which we will keep updated with future relevant work. Interested readers can find the repository at https://github.com/HongshengHu/membership-inference-machine-learning-literature.",abstract_exclude,excluded,"Abstract/title indicates review or background item, not a primary LLM-agent spatial/social system.",exclude_or_background_only
FT-L4-002,Applications of game theory in deep learning: a survey,2022,Multimedia Tools and Applications,https://doi.org/10.1007/s11042-022-12153-2,https://doi.org/10.1007/s11042-022-12153-2,"""generative agents"" ""social network"" ""community""",False,l4_graph_topology;vr_npc_embodied;llm_agent,high,75,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_vr_npc_embodied,low,https://openalex.org/W4211215416,abstract_available,"Multimedia Tools and Applications - This paper provides a comprehensive overview of the applications of game theory in deep learning. Today, deep learning is a fast-evolving area for research in...",abstract_missing_exclude,excluded,Abstract missing and title/metadata does not indicate a target LLM-agent spatial/social system.,exclude_unless_later_source_found
FT-L4-003,"6G-Enabled Edge AI for Metaverse: Challenges, Methods, and Future Research Directions",2022,Journal of Communications and Information Networks,https://doi.org/10.23919/jcin.2022.9815195,https://doi.org/10.23919/jcin.2022.9815195,"""large language model"" ""metaverse"" ""avatar"" ""spatial""",False,vr_npc_embodied;llm_agent,low,188,fresh_low_priority_or_background,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_vr_npc_embodied,low,https://openalex.org/W4224330100,abstract_available,"Sixth generation (6G) enabled edge intelligence opens up a new era of Internet of everything and makes it possible to interconnect people-devices-cloud anytime, anywhere. More and more next-generation wireless network smart service applications are changing our way of life and improving our quality of life. As the hottest new form of next-generation Internet applications, Metaverse is striving to connect billions of users and create a shared world where virtual and reality merge. However, limited by resources, computing power, and sensory devices, Metaverse is still far from realizing its full vision of immersion, materialization, and interoperability. To this end, this survey aims to realize this vision through the organic integration of 6G-enabled edge artificial intelligence (AI) and Metaverse. Specifically, we first introduce three new types of edge-Metaverse architectures that use 6G-enabled edge AI to solve resource and computing constraints in Metaverse. Then we summarize technical challenges that these architectures face in Metaverse and the existing solutions. Furthermore, we explore how the edge-Metaverse architecture technology helps Metaverse to interact and share digital data. Finally, we discuss future research directions to realize the true vision of Metaverse with 6G-enabled edge AI.",abstract_exclude,excluded,Abstract/title indicates unrelated domain or lacks target LLM-agent spatial/social system.,exclude
FT-L4-004,Social Simulacra: Creating Populated Prototypes for Social Computing Systems,2022,,https://doi.org/10.1145/3526113.3545616,https://doi.org/10.1145/3526113.3545616,"""large language model"" ""social network"" ""centrality""",False,l4_graph_topology;llm_agent,high,167,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_vr_npc_embodied,low,https://openalex.org/W4307475457,abstract_available,"Social computing prototypes probe the social behaviors that may arise in an envisioned system design. This prototyping practice is currently limited to recruiting small groups of people. Unfortunately, many challenges do not arise until a system is populated at a larger scale. Can a designer understand how a social system might behave when populated, and make adjustments to the design before the system falls prey to such challenges? We introduce social simulacra, a prototyping technique that generates a breadth of realistic social interactions that may emerge when a social computing system is populated. Social simulacra take as input the designer’s description of a community’s design—goal, rules, and member personas—and produce as output an instance of that design with simulated behavior, including posts, replies, and anti-social behaviors. We demonstrate that social simulacra shift the behaviors that they generate appropriately in response to design changes, and that they enable exploration of “what if?” scenarios where community members or moderators intervene. To power social simulacra, we contribute techniques for prompting a large language model to generate thousands of distinct community members and their social interactions with each other; these techniques are enabled by the observation that large language models’ training data already includes a wide variety of positive and negative behavior on social media platforms. In evaluations, we show that participants are often unable to distinguish social simulacra from actual community behavior and that social computing designers successfully refine their social computing designs when using social simulacra.",abstract_background_or_adjacent,adjacent_or_foundational,Abstract has relevant network/spatial/social terms but lacks a clear LLM-agent target system.,keep_as_background_or_low_priority
FT-L4-005,Co-Writing with Opinionated Language Models Affects Users’ Views,2023,,https://doi.org/10.1145/3544548.3581196,https://doi.org/10.1145/3544548.3581196,"""large language model"" ""social network"" ""centrality""",False,l4_graph_topology;llm_agent,high,222,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,,low,https://openalex.org/W4319167005,abstract_available,"If large language models like GPT-3 preferably produce a particular point of view, they may influence people’s opinions on an unknown scale. This study investigates whether a language-model-powered writing assistant that generates some opinions more often than others impacts what users write – and what they think. In an online experiment, we asked participants (N=1,506) to write a post discussing whether social media is good for society. Treatment group participants used a language-model-powered writing assistant configured to argue that social media is good or bad for society. Participants then completed a social media attitude survey, and independent judges (N=500) evaluated the opinions expressed in their writing. Using the opinionated language model affected the opinions expressed in participants’ writing and shifted their opinions in the subsequent attitude survey. We discuss the wider implications of our results and argue that the opinions built into AI language technologies need to be monitored and engineered more carefully.",abstract_background_or_adjacent,adjacent_or_foundational,Abstract has relevant network/spatial/social terms but lacks a clear LLM-agent target system.,keep_as_background_or_low_priority
FT-L4-006,Augmenting human innovation teams with artificial intelligence: Exploring transformer‐based language models,2023,Journal of Product Innovation Management,https://doi.org/10.1111/jpim.12656,https://doi.org/10.1111/jpim.12656,"""large language model"" ""social network"" ""centrality""",False,l4_graph_topology;llm_agent,high,363,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,,low,https://openalex.org/W4319831789,abstract_available,"Abstract The use of transformer‐based language models in artificial intelligence (AI) has increased adoption in various industries and led to significant productivity advancements in business operations. This article explores how these models can be used to augment human innovation teams in the new product development process, allowing for larger problem and solution spaces to be explored and ultimately leading to higher innovation performance. The article proposes the use of the AI‐augmented double diamond framework to structure the exploration of how these models can assist in new product development (NPD) tasks, such as text summarization, sentiment analysis, and idea generation. It also discusses the limitations of the technology and the potential impact of AI on established practices in NPD. The article establishes a research agenda for exploring the use of language models in this area and the role of humans in hybrid innovation teams. (Note: Following the idea of this article, GPT‐3 alone generated this abstract. Only minor formatting edits were performed by humans.)",abstract_exclude,excluded,Abstract does not indicate a target LLM-agent spatial/social/network system.,exclude
FT-L4-007,What if the devil is my guardian angel: ChatGPT as a case study of using chatbots in education,2023,Smart Learning Environments,https://doi.org/10.1186/s40561-023-00237-x,https://doi.org/10.1186/s40561-023-00237-x,"""large language model"" ""social network"" ""centrality""",False,l4_graph_topology;llm_agent,high,1503,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_llm_agent,low,https://openalex.org/W4321499901,abstract_available,"Abstract Artificial Intelligence (AI) technologies have been progressing constantly and being more visible in different aspects of our lives. One recent phenomenon is ChatGPT, a chatbot with a conversational artificial intelligence interface that was developed by OpenAI. As one of the most advanced artificial intelligence applications, ChatGPT has drawn much public attention across the globe. In this regard, this study examines ChatGPT in education, among early adopters, through a qualitative instrumental case study. Conducted in three stages, the first stage of the study reveals that the public discourse in social media is generally positive and there is enthusiasm regarding its use in educational settings. However, there are also voices who are approaching cautiously using ChatGPT in educational settings. The second stage of the study examines the case of ChatGPT through lenses of educational transformation, response quality, usefulness, personality and emotion, and ethics. In the third and final stage of the study, the investigation of user experiences through ten educational scenarios revealed various issues, including cheating, honesty and truthfulness of ChatGPT, privacy misleading, and manipulation. The findings of this study provide several research directions that should be considered to ensure a safe and responsible adoption of chatbots, specifically ChatGPT, in education.",abstract_exclude,excluded,Abstract/title indicates unrelated domain or lacks target LLM-agent spatial/social system.,exclude
FT-L4-008,Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks: A Survey of AIGC Services,2023,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2303.16129,https://doi.org/10.48550/arxiv.2303.16129,"""large language model"" ""metaverse"" ""avatar"" ""spatial""",False,vr_npc_embodied;llm_agent,low,56,fresh_low_priority_or_background,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_l4_graph_topology,medium,https://openalex.org/W4361806024,abstract_available,"Artificial Intelligence-Generated Content (AIGC) is an automated method for generating, manipulating, and modifying valuable and diverse data using AI algorithms creatively. This survey paper focuses on the deployment of AIGC applications, e.g., ChatGPT and Dall-E, at mobile edge networks, namely mobile AIGC networks, that provide personalized and customized AIGC services in real time while maintaining user privacy. We begin by introducing the background and fundamentals of generative models and the lifecycle of AIGC services at mobile AIGC networks, which includes data collection, training, finetuning, inference, and product management. We then discuss the collaborative cloud-edge-mobile infrastructure and technologies required to support AIGC services and enable users to access AIGC at mobile edge networks. Furthermore, we explore AIGCdriven creative applications and use cases for mobile AIGC networks. Additionally, we discuss the implementation, security, and privacy challenges of deploying mobile AIGC networks. Finally, we highlight some future research directions and open issues for the full realization of mobile AIGC networks.",abstract_exclude,excluded,"Abstract/title indicates review or background item, not a primary LLM-agent spatial/social system.",exclude_or_background_only
FT-L4-009,Learning theories for artificial intelligence promoting learning processes,2023,British Journal of Educational Technology,https://doi.org/10.1111/bjet.13341,https://doi.org/10.1111/bjet.13341,"""generative agents"" ""social network"" ""community""",False,l4_graph_topology;llm_agent,high,118,fresh_l4_tilt_recheck,openalex_fresh_targeted_l4_tilt_2026-04-27,False,,low,https://openalex.org/W4378469229,abstract_available,"Abstract This paper discusses a three‐level model that synthesizes and unifies existing learning theories to model the roles of artificial intelligence (AI) in promoting learning processes. The model, drawn from developmental psychology, computational biology, instructional design, cognitive science, complexity and sociocultural theory, includes a causal learning mechanism that explains how learning occurs and works across micro, meso and macro levels. The model also explains how information gained through learning is aggregated, or brought together, as well as dissipated, or released and used within and across the levels. Fourteen roles for AI in education are proposed, aligned with the model's features: four roles at the individual or micro level, four roles at the meso level of teams and knowledge communities and six roles at the macro level of cultural historical activity. Implications for research and practice, evaluation criteria and a discussion of limitations are included. Armed with the proposed model, AI developers can focus their work with learning designers, researchers and practitioners to leverage the proposed roles to improve individual learning, team performance and building knowledge communities. Practitioner notes What is already known about this topic Numerous learning theories exist with significant cross‐over of concepts, duplication and redundancy in terms and structure that offer partial explanations of learning. Frameworks concerning learning have been offered from several disciplines such as psychology, biology and computer science but have rarely been integrated or unified. Rethinking learning theory for the age of artificial intelligence (AI) is needed to incorporate computational resources and capabilities into both theory and educational practices. What this paper adds A three‐level theory (ie, micro, meso and macro) of learning that synthesizes and unifies existing theories is proposed to enhance computational modelling and further develop the roles of AI in education. A causal model of learning is defined, drawing from developmental psychology, computational biology, instructional design, cognitive science and sociocultural theory, which explains how learning occurs and works across the levels. The model explains how information gained through learning is aggregated, or brought together, as well as dissipated, or released and used within and across the levels. Fourteen roles for AI in education are aligned with the model's features: four roles at the individual or micro level, four roles at the meso level of teams and knowledge communities and six roles at the macro level of cultural historical activity. Implications for practice and policy Researchers may benefit from referring to the new theory to situate their work as part of a larger context of the evolution and complexity of individual and organizational learning and learning systems. Mechanisms newly discovered and explained by future researchers may be better understood as contributions to a common framework unifying the scientific understanding of learning theory.",abstract_background_or_adjacent,adjacent_or_foundational,Abstract has relevant network/spatial/social terms but lacks a clear LLM-agent target system.,keep_as_background_or_low_priority
FT-L4-010,Exploring the Darkverse: A Multi-Perspective Analysis of the Negative Societal Impacts of the Metaverse,2023,Information Systems Frontiers,https://doi.org/10.1007/s10796-023-10400-x,https://doi.org/10.1007/s10796-023-10400-x,"""large language model"" ""metaverse"" ""avatar"" ""spatial""",False,vr_npc_embodied;llm_agent,low,198,fresh_low_priority_or_background,openalex_fresh_targeted_l4_tilt_2026-04-27,False,title_vr_npc_embodied,low,https://openalex.org/W4379144887,abstract_available,"The Metaverse has the potential to form the next pervasive computing archetype that can transform many aspects of work and life at a societal level. Despite the many forecasted benefits from the metaverse, its negative outcomes have remained relatively unexplored with the majority of views grounded on logical thoughts derived from prior data points linked with similar technologies, somewhat lacking academic and expert perspective. This study responds to the dark side perspectives through informed and multifaceted narratives provided by invited leading academics and experts from diverse disciplinary backgrounds. The metaverse dark side perspectives covered include: technological and consumer vulnerability, privacy, and diminished reality, human-computer interface, identity theft, invasive advertising, misinformation, propaganda, phishing, financial crimes, terrorist activities, abuse, pornography, social inclusion, mental health, sexual harassment and metaverse-triggered unintended consequences. The paper concludes with a synthesis of common themes, formulating propositions, and presenting implications for practice and policy.",abstract_exclude,excluded,Abstract/title indicates unrelated domain or lacks target LLM-agent spatial/social system.,exclude
