shortlist_id,title,current_tier,proposed_tier,core_layer,admission_status,agent_count,environment_side_representation,agent_accessible_representation,behavioral_scale,behavior_type,evidence_status,spatial_behavior_coupling,evaluation_method,local_artifact_status,local_artifact_path,next_action,decision_basis
HC01,TravelAgent: Generative agents in the built environment,adjacent,core,bridge_core,promote_now,1,3D_engine,L5,local_action,"mobility; other",observed_effect,explicit,mixed,local_pdf_archived,assets/survey_paper/pdfs/phase1_core/00_HC01_TravelAgent_Noyman2025.pdf,promote_as_bridge_l5_not_anchor,"Full-text adjudication confirms first-person visual observations, depth, collision, discovery-map, compass, and spatial-memory inputs; current experiments remain single-agent navigation, so bridge only."
HC11,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,adjacent,core,bridge_core,promote_now,1_or_small_group,3D_engine,L2,interaction,"dialogue; other",designed_affordance_only,implicit,human_eval,missing_pdf,,promote_as_social_vr_l2_bridge,"Primary-source/abstract review supports text-prompt schema over VR spots, objects, characters, and communications in five role-play scenarios with 14 participants; bridge because it is human-AI spatial interaction rather than population simulation."
BK02,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,adjacent,core,bridge_core,promote_now,1,text-only,L2,interaction,"dialogue; other",observed_effect,explicit,human_eval,local_note_reviewed,,promote_as_spatially_aware_interaction_bridge,"PubMed/abstract evidence supports three spatial-awareness conditions in counseling conversations and observed differences in copresence, trust, alliance, and self-disclosure; bridge because it is human-agent interaction rather than population simulation."
BK03,A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models,adjacent,core,bridge_core,promote_now,1,3D_engine,L2,interaction,"dialogue; mobility; other",observed_effect,explicit,human_eval,missing_pdf,,promote_as_metaverse_onboarding_bridge,"Primary-source abstract and metadata support metaverse onboarding with short-term spatiotemporal context, long-term exploration context, ablation study, and user study; bridge because the system is a single-agent onboarding assistant."
BK04,A Voice-Controlled Dialogue System for NPC Interaction using Large Language Models,adjacent,core,bridge_core,promote_now,1,3D_engine,L2,interaction,"dialogue; other",designed_affordance_only,implicit,none,local_pdf_archived,assets/survey_paper/pdfs/phase1_adjacent/07_BK04_NPC_Interaction.pdf,promote_as_npc_bridge,"Downloaded PDF and ACL source confirm Unity/NPC interaction; bridge because it is a single user-to-NPC interface."
BK05,Mixed-Initiative Dialogue Management for Human-Virtual Agents Interaction in Forum Theatre Inspired Training,adjacent,core,bridge_core,promote_now,2-10,3D_engine,L2,interaction,"dialogue; cooperation; other",designed_affordance_only,implicit,mixed,local_pdf_archived,assets/survey_paper/pdfs/phase1_adjacent/08_BK05_Forum_Theatre_Training.pdf,promote_as_vr_training_bridge,"Downloaded PDF confirms a VR training tool with virtual agents and reflection/replay; bridge because it is training interaction rather than social simulation."
BK06,TongSIM: A General Platform for Simulating Intelligent Machines,adjacent,core,bridge_core,promote_now,2-10,3D_engine,L5,mixed,"dialogue; cooperation; mobility; other",designed_affordance_only,explicit,mixed,local_pdf_archived,assets/survey_paper/pdfs/phase1_adjacent/09_BK06_TongSIM.pdf,promote_as_platform_bridge_l5,"PDF/source review confirms high-fidelity embodied platform, indoor scenes, outdoor town, multi-agent social simulation affordances, and human-AI collaboration; bridge because it is platform-like."
BK07,S^3: Social-network Simulation System with Large Language Model-Empowered Agents,adjacent,core,bridge_core,promote_now,100+,graph_based,L3,emergent_social_structure,"dialogue; cooperation; conflict; norm_formation; other",observed_effect,explicit,auto_metric,local_pdf_archived,assets/survey_paper/pdfs/phase1_adjacent/10_BK07_S3_Social_Network_Simulation.pdf,promote_as_digital_network_l3_bridge,"Full-text recheck supports directed follow graph, followee message exposure, user profiles, memory, and propagation, but no agent-facing global centrality/community summary; under widened digital-environment rule it enters bridge_core as L3."
BK08,Unveiling the collective behaviors of large language model-based autonomous agents in an online community: A social network analysis perspective,adjacent,core,bridge_core,promote_now,100+,graph_based,L3,emergent_social_structure,"dialogue; cooperation; conflict; norm_formation; other",observed_effect,explicit,auto_metric,primary_page_reviewed,https://www.sciencedirect.com/science/article/pii/S2543925125000154,promote_as_online_community_l3_bridge,"Primary-source review confirms Chirper online community, profiles, posts, follows, replies, histories, and observed network formation; SNA metrics are researcher-side results rather than agent-facing global structure, so code as L3."
LD01,An Open-Domain Avatar Chatbot by Exploiting a Large Language Model,adjacent,core,bridge_core,reserve,1,3D_engine,L2,interaction,"dialogue; other",designed_affordance_only,implicit,none,not_prioritized,,reserve_only,"Avatar-based immersive interaction is socially situated, but evidence is weaker than the main bridge-core candidates."
R3-03,Cognitive Agents in Urban Mobility: Integrating LLM Reasoning into Multi-Agent Simulations,reserve_or_adjacent,core,bridge_core,promote_now,100+,graph_based,L3,mixed,"mobility; other",observed_effect,explicit,mixed,local_markdown_fulltext_archived,assets/survey_paper/pdfs/phase1_round3_candidates/R3-03_Cognitive_Agents_Urban_Mobility_2025.fulltext.md,promote_as_urban_mobility_bridge,"Full-text sanity check confirms 320 cognitive agents in a geospatial transport simulation with disruption adaptation; bridge because direct interpersonal interaction is weak."
R3-05,Building Cooperative Embodied Agents Modularly with Large Language Models (CoELA),adjacent,core,bridge_core,promote_now,2-10,3D_engine,L5,interaction,"cooperation; mobility; other",observed_effect,explicit,auto_metric,not_acquired_in_round3,,promote_as_embodied_cooperation_bridge_if_scope_accepts_benchmarks,"Strong embodied multi-agent cooperation evidence with raw sensory observations and costly communication; bridge because it is primarily a cooperation benchmark."
