scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
avoid_crowd_event,utility_planner,0.78,0.58,0.7,0.72,1.0,0.0,0.2,1.0,0.0,missing groceries task,"Going to the park to exercise before the concert is plausible, but the trace ends immediately without attempting groceries and the completion reason overstates what was actually achieved."
avoid_crowd_event,api_llm_direct_actor,0.78,0.42,0.9,0.66,1.0,0.0,0.36,1.0,0.0,repetitive dwelling,"The initial choice to go to the park and avoid the plaza crowd is sensible, but the trace then loops in repeated dwell steps at the same park and never makes the grocery stop, which weakens overall behavioral realism."
avoid_crowd_event,api_llm_plan_then_act,0.74,0.7,0.88,0.77,1.0,0.0,0.04,1.0,0.0,budget exhaustion,"The sequence is locally sensible—shop first, then exercise in a calmer park—but ending with exactly zero budget makes the trace a bit contrived and slightly weakens overall believability."
avoid_crowd_event,api_llm_reactive_replanner,0.78,0.72,0.6,0.82,1.0,0.0,0.06,1.0,0.0,unearned completion,"Going to a park to exercise while avoiding a concert crowd is plausible, but the trace claims groceries were completed without any market visit, so the sequence feels incomplete and slightly over-assertive."
budget_errand_chain,utility_planner,0.94,0.93,0.98,0.96,1.0,0.0,0.01,1.0,0.0,none,"The agent follows a straightforward, budget-aware errand chain to the pharmacy, dinner, and home, and the sequence, timing, and remaining budget all fit ordinary city behavior."
budget_errand_chain,api_llm_direct_actor,0.78,0.39,0.67,0.52,0.833,0.0,0.39,1.0,0.167,repetitive backtracking,"The plan starts like a normal low-budget errand run, but it redundantly buys medicine twice in effect and then needlessly returns to the diner after already going home, which makes the full trace feel drifted and weakly goal-directed."
budget_errand_chain,api_llm_plan_then_act,0.98,0.97,0.99,0.98,1.0,0.0,0.01,1.0,0.0,none,"The sequence is a straightforward, well-paced errand chain that matches the persona, stays within budget, and returns home on time."
budget_errand_chain,api_llm_reactive_replanner,0.97,0.96,0.99,0.98,1.0,0.0,0.01,1.0,0.0,none,"The sequence is a straightforward, realistic evening errand chain: buy medicine, eat at an affordable diner, then return home before the deadline while staying within budget."
closed_poi_replacement,utility_planner,0.92,0.89,0.98,0.94,1.0,0.0,0.03,1.0,0.0,slight timing mismatch,"Going to a bookstore as a quiet substitute, waiting for the closure event, and then doing a 60-minute focus session is a very plausible city behavior, with only a minor oddity in the pre-closure waiting and bookkeeping of time."
closed_poi_replacement,api_llm_direct_actor,0.91,0.62,0.97,0.84,1.0,0.0,0.29,1.0,0.0,repetitive dwell looping,"The move to coworking and staying there is sensible, but the trace overstates the stay with repeated dwell actions that look like looped bookkeeping rather than natural behavior."
closed_poi_replacement,api_llm_plan_then_act,0.98,0.97,0.99,0.98,0.5,0.48,0.01,0.75,0.5,none,"The agent makes a realistic fallback choice to a quiet cafe, stays long enough to work, and avoids the closed library, which fits the scenario well."
closed_poi_replacement,api_llm_reactive_replanner,0.96,0.95,0.98,0.97,1.0,0.0,0.01,1.0,0.0,none,Aria sensibly reroutes to a quiet paid workspace after the library closure and completes a coherent 60-minute work session without any odd detours.
closed_study_spot_replacement,utility_planner,0.96,0.95,0.98,0.97,1.0,0.0,0.01,1.0,0.0,none,"Aria plausibly switches to a nearby open quiet spot, works there for 50 minutes, and ends with remaining budget, with no contradictory behavior."
closed_study_spot_replacement,api_llm_direct_actor,0.95,0.78,0.98,0.9,1.0,0.0,0.17,1.0,0.0,repetitive dwelling,"The agent sensibly reroutes from a closed library to a quiet bookstore and stays there to work, but the repeated back-to-back dwell actions feel somewhat redundant rather than like a natural single work block."
closed_study_spot_replacement,api_llm_plan_then_act,0.97,0.95,0.99,0.96,1.0,0.0,0.02,1.0,0.0,none,"The agent sensibly switches to a nearby quiet bookstore, works for an adequate block, and avoids the closed library while staying within budget."
closed_study_spot_replacement,api_llm_reactive_replanner,0.93,0.88,0.98,0.92,1.0,0.0,0.05,1.0,0.0,slight repetition,"The agent sensibly reroutes from a closed library to a quiet bookstore and stays long enough to work, with only minor redundant dwelling before finishing."
commute_disruption,utility_planner,0.78,0.42,0.86,0.58,0.0,0.78,0.36,0.5,1.0,ignores disruption context,"The agent’s move-to-office action is individually reasonable, but the trace skips any response to the transit delay and resolves the commute too cleanly for the scenario."
commute_disruption,api_llm_direct_actor,0.64,0.32,0.78,0.41,0.667,0.0,0.32,0.5,0.333,repetitive route oscillation,"The actions and explanations are locally reasonable around the transit delay, but the trace repeatedly shuttles home and hub without a clear plan, making the full commute behavior look implausible."
commute_disruption,api_llm_plan_then_act,0.95,0.96,0.98,0.94,1.0,0.0,0.0,1.0,0.0,none,"The agent takes a sensible alternate route after the disruption, reaches the office well before the deadline, and the reasons match the actions and commute scenario."
commute_disruption,api_llm_reactive_replanner,0.74,0.62,0.86,0.71,0.0,0.74,0.12,0.5,1.0,underspecified route realism,"The commuter reaching the office early and then finishing is broadly plausible, but the trace skips the actual replanning behavior and relies on an unexplained direct move that may not fit the stated transit disruption context."
conflicting_social_obligation,utility_planner,0.93,0.82,0.97,0.9,1.0,0.0,0.11,1.0,0.0,slightly truncated episode,"The agent behaves like a reasonable freelancer: it protects a work block, answers Ben honestly and politely, and does not make an infeasible commitment, though the trace ends a bit abruptly."
conflicting_social_obligation,api_llm_direct_actor,0.97,0.72,0.95,0.9,1.0,0.0,0.25,1.0,0.0,redundant dwell/overlong work block,"The message and work-first choice are very plausible, but the trace overextends the work block with a redundant second dwell and then finishes early, which makes the full sequence slightly less believable."
conflicting_social_obligation,api_llm_plan_then_act,0.97,0.95,0.99,0.96,1.0,0.0,0.02,1.0,0.0,none,"The agent completes the work block, declines politely and specifically, and stays in place with budget intact, which reads like a very plausible urban schedule."
conflicting_social_obligation,api_llm_reactive_replanner,0.98,0.97,0.99,0.96,1.0,0.0,0.01,1.0,0.0,none,"Aria completes the work block, declines the theatre invite politely and specifically, and then stops, which is a very plausible response to the conflicting obligations."
detour_commute_midroute_block,utility_planner,0.32,0.28,0.62,0.25,0.0,0.32,0.04,0.35,1.0,ignores mid-route disruption,"The agent’s move to the office is superficially commuter-like, but it skips the expected rerouting logic and makes no mention of the service alert or any detour despite the scenario’s disruption."
detour_commute_midroute_block,api_llm_direct_actor,0.67,0.24,0.74,0.28,0.875,0.0,0.43,0.65,0.125,route dithering / looping,"The detour choice is reasonable in response to the hub alert, but the trace repeatedly oscillates between park and cafe without clear progress, making the full commute feel erratic and only weakly city-like."
detour_commute_midroute_block,api_llm_plan_then_act,0.76,0.62,0.88,0.67,0.75,0.01,0.14,0.85,0.25,impossible budget/route details,"The commute and detour narrative are sensible, but the trace shows odd route choices and an infeasible negative budget, which weakens full-sequence believability."
detour_commute_midroute_block,api_llm_reactive_replanner,0.78,0.66,0.74,0.8,1.0,0.0,0.12,1.0,0.0,route inconsistency,"The commute and reroute are broadly plausible, but the trace mentions several different detour paths and a vague justification that weakens the full-sequence realism."
lunch_meeting_time_pressure,utility_planner,0.91,0.78,0.95,0.88,1.0,0.0,0.13,1.0,0.0,minimal engagement with meeting,"The agent’s move-and-wait plan is a very plausible lunch-meeting response under time pressure, though the trace feels slightly thin because it never actually shows Ben arriving or any adaptation to the later crowd event."
lunch_meeting_time_pressure,api_llm_direct_actor,0.93,0.84,0.96,0.91,1.0,0.0,0.09,1.0,0.0,over-waiting,"The plan is coherent and matches the quiet-meeting goal, but it spends most of the episode waiting and messaging rather than actively ensuring Ben arrives."
lunch_meeting_time_pressure,api_llm_plan_then_act,0.9,0.82,0.97,0.88,1.0,0.0,0.08,0.55,0.0,timing inconsistency,"The plan is broadly sensible—go to the quieter cafe and wait there—but the reported wait extends past the stated lunch meeting window, which slightly weakens full-trace believability."
lunch_meeting_time_pressure,api_llm_reactive_replanner,0.78,0.42,0.86,0.73,1.0,0.0,0.36,1.0,0.0,premature finish without co-presence,"The plan is locally sensible—go to a quieter cafe, message Ben, then wait—but it ends as if the meeting succeeded without any evidence Ben arrived, so the full trace feels incomplete."
meeting_wait_trap,utility_planner,0.62,0.28,0.52,0.44,1.0,0.0,0.34,0.8,0.0,waiting trap / missing coordination,"The move-and-wait pattern sounds like a reasonable lunch-meeting attempt, but the trace ends before confirming Ben or actually achieving co-presence, so the full behavior looks incomplete and coordination-poor."
meeting_wait_trap,api_llm_direct_actor,0.82,0.28,0.83,0.35,1.0,0.0,0.54,0.55,0.0,message loop without movement,"The individual messages sound like a normal lunch-coordination attempt, but the trace gets stuck repeatedly asking for confirmation and never actually travels or meets Ben."
meeting_wait_trap,api_llm_plan_then_act,0.86,0.52,0.84,0.78,1.0,0.0,0.34,1.0,0.0,premature finish / unverified meeting,"The plan sounds like a reasonable lunch coordination attempt, but it waits at Central Cafe without evidence of Ben’s reply or actual co-presence, so the full trace looks incomplete and somewhat goal-drifting."
