"candidate_id","title","year","source_url","source_basis","target_family","initial_decision","likely_core_layer","likely_repr","reason","next_action"
"TW-01","Network formation and dynamics among multi-LLMs","2025","https://academic.oup.com/pnasnexus/article/doi/10.1093/pnasnexus/pgaf317/8361967","external targeted L4 robustness search","l4_graph_topology","already_admitted","bridge_core","L4","Agent-facing network/global abstract structure; already added as L4R-01.","Keep in widened evidence map."
"TW-02","Leveraging LLM-based agents for social science research: insights from citation network simulations","2026","https://www.nature.com/articles/s41599-025-06193-w","external targeted L4 robustness search","l4_graph_topology","reserve_recheck","reserve","L4_or_adjacent","Citation-network simulation has graph structure but is farther from spatial-social target.","Check whether agents receive network/global structure and whether social behavior is central enough."
"TW-03","Cognitive Agents in Urban Mobility: Integrating LLM Reasoning into Multi-Agent Simulations","2025","https://www.mdpi.com/1424-8220/25/18/5688","external targeted urban/mobility search","urban_mobility_crowd_built","already_admitted","bridge_core","L3","LLM agents simulate adaptive urban mobility across 320 individuals in SimFleet; already counted as R3-03.","Keep as bridge_core L3 unless stronger agent-facing network/topology evidence appears."
"TW-04","Generative agents for urban mobility: A cognitive framework for realistic travel behavior simulation","2026","https://www.sciencedirect.com/science/article/pii/S1569190X25001698","external targeted urban/mobility search","urban_mobility_crowd_built","fulltext_recheck","bridge_core","L3_or_L4","GATSim reports route learning and incident response on a transportation network; potential added urban bridge row if not already counted.","Full-text check for agent-facing route/network representation and social/population behavior."
"TW-05","Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment","2025","https://www.sciencedirect.com/science/article/pii/S0925753525001602","external targeted evacuation search","urban_mobility_crowd_built","already_in_local_queue","anchor_or_bridge_core","L3_or_L5","Multi-agent evacuation in spatial semantic + cellular automata environment; overlaps HC13 local adjudication.","Use existing HC13 full-text adjudication rather than duplicate."
"TW-06","When agents learn to think: Large language model-enhanced agent-based modeling for crowd evacuation in disaster scenarios","2025","https://www.sciencedirect.com/science/article/pii/S0951832025012554","external targeted evacuation search","urban_mobility_crowd_built","already_in_local_queue","anchor_or_bridge_core","L3_or_L5","LLM decision cores for individual evacuation agents with environmental observations and information exchange; overlaps HC14 local adjudication.","Use existing HC14 full-text adjudication rather than duplicate."
"TW-07","Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios","2025","https://www.researchgate.net/publication/389214645_Exploring_Large_Language_Model-Driven_Agents_for_Environment-Aware_Spatial_Interactions_and_Conversations_in_Virtual_Reality_Role-Play_Scenarios","external targeted VR/social-spatial search","social_vr_metaverse_avatar","already_admitted","bridge_core","L2_or_L5","VR role-play case with object/spot/coordinate schemas and spatial interaction; already counted as HC11 bridge_core.","Keep as bridge_core; verify final L2/L5 coding from full source if needed."
"TW-08","A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models","2024","https://doi.org/10.1145/3643834.3661579","external targeted metaverse search","social_vr_metaverse_avatar","already_admitted","bridge_core","L2","Metaverse onboarding with context-aware spatial/social interaction; already counted as BK03.","Keep as bridge_core L2."
"TW-09","ELLMA-T: an Embodied LLM-agent for Supporting English Language Learning in Social VR","2024","https://arxiv.org/abs/2410.02406","external targeted social-VR search","social_vr_metaverse_avatar","fulltext_recheck","bridge_core","L2_or_L5","Embodied LLM agent in social VR; may add L2/L5 bridge evidence if implementation and evaluation are concrete.","Retrieve/check full text for spatial inputs and empirical status."
"TW-10","Conversing with AI agents in VR: An early investigation of alignment and modality","2025","https://www.sciexplor.com/articles/ec.2025.0013","external targeted VR agent search","social_vr_metaverse_avatar","reserve_recheck","bridge_core_or_adjacent","L2","VR conversations with AI agents; likely socially situated but spatial representation may be weak.","Check whether VR spatial context is agent-facing or only presentation medium."
"TW-11","Dialogs with GenAI NPCs: Exploring Player Interactions with Speech Agents in a VR Game","2026","https://www.tandfonline.com/doi/full/10.1080/10447318.2026.2620647","external targeted NPC/VR search","game_npc_social_world","fulltext_recheck","bridge_core","L2_or_L5","Empirical player interaction with LLM-based NPCs in a VR game; promising bridge case for NPC/social presence.","Full-text code for spatial scene representation and evidence status."
"TW-12","A Virtual Tutoring System with Gamification, LLM-Guided NPCs, and Online Tutor Support","2026","https://doi.org/10.3390/app16020899","external targeted NPC/virtual-world search","game_npc_social_world","reserve_recheck","bridge_core_or_adjacent","L2","Virtual world system with LLM-guided NPCs and user interaction; educational rather than social simulation.","Check whether it has spatially situated NPC-user behavior beyond dialogue."
"TW-13","Next-Gen orientation: supporting international students with generative AI NPCs in VR","2026","https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2026.1799323/full","external targeted VR/NPC search","social_vr_metaverse_avatar","fulltext_recheck","bridge_core","L2_or_L5","VR campus/orientation with generative AI NPCs; likely L2 bridge case and spatially situated human-agent interaction.","Full-text code for spatial context, NPC role, and evaluation."
"TW-14","SIAgent: Spatial Interaction Agent via LLM-powered Eye-Hand Motion Intent Understanding in VR","2026","https://arxiv.org/abs/2603.00522","external targeted VR spatial-interaction search","social_vr_metaverse_avatar","reserve_or_adjacent","adjacent","L5","Spatial interaction in VR but likely intent-operation single-user tool rather than social behavior.","Use as Adjacent feasibility unless social/NPC interaction is central."
"TW-15","AI-powered avatar assistants: a systematic literature review of tools application domains and challenges","2026","https://link.springer.com/article/10.1007/s12652-026-05052-z","external targeted avatar-review hit","social_vr_metaverse_avatar","exclude_or_foundational","foundational","","Review article useful for background only; not a system row.","Do not enter Core evidence map."
