group,comparison,x_metric,y_metric,n,pearson_r,spearman_rho
all,face_vs_task,judge_face_plausibility,task_completion,24,-0.343,-0.354
all,face_vs_feasibility,judge_face_plausibility,trace_feasibility,24,-0.098,0.165
all,trace_believability_vs_task,judge_trace_believability,task_completion,24,-0.206,-0.255
all,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,24,0.122,0.06
agentsociety_official_plan_blocks,face_vs_task,judge_face_plausibility,task_completion,6,-0.269,0.017
agentsociety_official_plan_blocks,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,0.976,0.893
agentsociety_official_plan_blocks,trace_believability_vs_task,judge_trace_believability,task_completion,6,-0.354,-0.27
agentsociety_official_plan_blocks,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,0.969,0.941
gatsim_official_planner,face_vs_task,judge_face_plausibility,task_completion,6,,
gatsim_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,0.065,0.131
gatsim_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,6,,
gatsim_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,0.116,-0.131
generative_agents_official_planner,face_vs_task,judge_face_plausibility,task_completion,6,-0.397,-0.399
generative_agents_official_planner,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,0.197,0.246
generative_agents_official_planner,trace_believability_vs_task,judge_trace_believability,task_completion,6,-0.137,-0.266
generative_agents_official_planner,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,0.286,0.4
sotopia_official_llm_agent,face_vs_task,judge_face_plausibility,task_completion,6,-0.353,-0.266
sotopia_official_llm_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,6,-0.393,-0.429
sotopia_official_llm_agent,trace_believability_vs_task,judge_trace_believability,task_completion,6,0.106,0.393
sotopia_official_llm_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,6,-0.036,-0.372
within_scenario_agent,face_vs_task,judge_face_plausibility,task_completion,24,,
within_scenario_agent,face_vs_feasibility,judge_face_plausibility,trace_feasibility,24,,
within_scenario_agent,trace_believability_vs_task,judge_trace_believability,task_completion,24,,
within_scenario_agent,trace_believability_vs_feasibility,judge_trace_believability,trace_feasibility,24,,
