dimension_group,row_key,column_key,count,shortlist_ids,notes
summary,stable_core_rows,all,19,"HC02; HC03A; HC03B; HC04; HC05; HC06; HC07; HC08; HC09; HC10; HC12A; HC12B; HC13; HC14; HC15; R3-01; R3-02; R3-04; BK01","System or configuration rows currently present in the stable Core first-pass coding table after targeted Round 3 integration."
summary,paper_level_core_items,all,17,"HC02; HC03; HC04; HC05; HC06; HC07; HC08; HC09; HC10; HC12; HC13; HC14; HC15; R3-01; R3-02; R3-04; BK01","Paper-level Core items represented by the stable table after HC01 moved to Adjacent and R3-01/R3-02/R3-04 were admitted."
repr_distribution,L0,all,0,,"No stable Core row without spatial information."
repr_distribution,L1,all,1,HC03B,"Only one low-structure digital action-space split row remains at L1."
repr_distribution,L2,all,0,,"No stable Core row is currently coded at L2."
repr_distribution,L3,all,15,"HC02; HC03A; HC04; HC05; HC07; HC08; HC09; HC10; HC12B; HC13; HC14; HC15; R3-02; R3-04; BK01","L3 remains the dominant stable representation level, but it no longer monopolizes observed-effect evidence."
repr_distribution,L4,all,0,,"The configurational-representation cell remains empty in the current stable Core table."
repr_distribution,L5,all,3,"HC06; HC12A; R3-01","Stable L5 rows now include one observed-effect Round 3 supplement."
env_distribution,text-only,all,3,"HC03A; HC03B; HC05","Text-only environments remain a minority and are all designed-affordance rows."
env_distribution,2D_grid,all,5,"HC02; HC04; HC09; HC13; R3-04","Grid or cellular environments now include three observed-effect rows."
env_distribution,graph_based,all,5,"HC07; HC14; HC15; R3-02; BK01","Graph-based environments now include four observed-effect rows."
env_distribution,3D_engine,all,6,"HC06; HC08; HC10; HC12A; HC12B; R3-01","3D-engine environments remain the largest backend family and now include one L5 observed-effect row."
behavior_distribution,local_action,all,0,,"No stable Core row is currently coded as local_action only."
behavior_distribution,interaction,all,3,"HC03A; HC03B; HC08","Interaction-focused rows remain a minority."
behavior_distribution,emergent_social_structure,all,10,"HC02; HC05; HC06; HC07; HC09; HC10; HC15; R3-02; R3-04; BK01","Emergent-social-structure remains the most common stable behavioral scale."
behavior_distribution,mixed,all,6,"HC04; HC12A; HC12B; HC13; HC14; R3-01","Mixed rows now also include one embodied Round 3 supplement."
evidence_distribution,observed_effect,all,9,"HC07; HC09; HC10; HC13; HC14; HC15; R3-01; R3-02; R3-04","Observed-effect coverage now spans graph, grid, city, evacuation, and embodied 3D settings."
evidence_distribution,designed_affordance_only,all,10,"HC02; HC03A; HC03B; HC04; HC05; HC06; HC08; HC12A; HC12B; BK01","Designed-affordance rows still dominate the stable Core table."
evidence_distribution,hypothesized_but_not_tested,all,0,,"No stable Core row is currently coded as hypothesis only."
repr_x_evidence,L1,designed_affordance_only,1,HC03B,"Single digital split row."
repr_x_evidence,L1,observed_effect,0,,"No observed-effect row exists at L1."
repr_x_evidence,L3,designed_affordance_only,7,"HC02; HC03A; HC04; HC05; HC08; HC12B; BK01","The largest designed-affordance block remains L3."
repr_x_evidence,L3,observed_effect,8,"HC07; HC09; HC10; HC13; HC14; HC15; R3-02; R3-04","Observed-effect evidence is still led by L3, but no longer concentrated exclusively there."
repr_x_evidence,L4,designed_affordance_only,0,,"No stable L4 row exists."
repr_x_evidence,L4,observed_effect,0,,"No stable L4 row exists."
repr_x_evidence,L5,designed_affordance_only,2,"HC06; HC12A","Two of the three stable L5 rows remain designed-affordance only."
repr_x_evidence,L5,observed_effect,1,R3-01,"MineLand closes the previous L5 observed-effect gap."
repr_x_behavior,L1,interaction,1,HC03B,"Only one L1 interaction row."
repr_x_behavior,L1,emergent_social_structure,0,,""
repr_x_behavior,L1,mixed,0,,""
repr_x_behavior,L3,interaction,2,"HC03A; HC08",""
repr_x_behavior,L3,emergent_social_structure,9,"HC02; HC05; HC07; HC09; HC10; HC15; R3-02; R3-04; BK01",""
repr_x_behavior,L3,mixed,4,"HC04; HC12B; HC13; HC14",""
repr_x_behavior,L5,interaction,0,,"No stable L5 interaction row is currently observed-effect coded."
repr_x_behavior,L5,emergent_social_structure,1,HC06,""
repr_x_behavior,L5,mixed,2,"HC12A; R3-01",""
env_x_evidence,text-only,designed_affordance_only,3,"HC03A; HC03B; HC05",""
env_x_evidence,text-only,observed_effect,0,,""
env_x_evidence,2D_grid,designed_affordance_only,2,"HC02; HC04",""
env_x_evidence,2D_grid,observed_effect,3,"HC09; HC13; R3-04",""
env_x_evidence,graph_based,designed_affordance_only,1,BK01,""
env_x_evidence,graph_based,observed_effect,4,"HC07; HC14; HC15; R3-02",""
env_x_evidence,3D_engine,designed_affordance_only,4,"HC06; HC08; HC12A; HC12B",""
env_x_evidence,3D_engine,observed_effect,2,"HC10; R3-01","3D-engine observed-effect evidence now includes one L5 row via MineLand."
