scenario_id,agent_type,judge_face_plausibility,judge_trace_believability,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,face_feasibility_gap,face_believability_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
social_copresence_decoy_location,api_llm_react_tool_policy,0.97,0.84,0.98,0.91,1.0,0.0,0.13,1.0,0.0,minor over-instrumented venue behavior,"The trace cleanly follows the stated goal of confirming with Ben and then meeting at the quiet cafe, with only a slight sense of overexplaining or overstructuring the venue interaction."
social_copresence_decoy_location,api_llm_plan_and_execute,0.9,0.72,0.93,0.84,1.0,0.0,0.18,1.0,0.0,slight over-scripted efficiency,"The trace follows a coherent city-style meeting plan that confirms with Ben and reaches the quiet cafe in the right window, though it feels a bit too neatly optimized and scripted for natural behavior."
social_copresence_decoy_location,gatsim_official_planner,0.78,0.28,0.42,0.31,0.5,0.28,0.5,0.15,0.5,repetitive validator-driven looping,"The trace starts with a plausible choice of the quiet cafe and meeting window, but it devolves into repeated generic interactions and plan-revision filler that do not read like ordinary urban behavior or a coherent social meeting."
social_copresence_decoy_location,sotopia_official_llm_agent,0.92,0.88,0.98,0.87,0.889,0.031,0.04,0.8,0.111,minor over-routining,"The trace is coherent and matches the stated goal of confirming with Ben and ending at the quiet cafe, though the step-by-step movement reads a bit scripted rather than fully natural."
social_copresence_decoy_location,generative_agents_official_planner,0.98,0.84,0.96,0.9,1.0,0.0,0.14,1.0,0.0,overly scripted adapter behavior,"The trace follows a sensible city-meeting plan, reaches the correct cafe in time, and stays within budget, but the adapter-like phrasing makes the sequence feel slightly synthetic rather than fully natural."
social_copresence_decoy_location,agentsociety_official_plan_blocks,0.93,0.78,0.97,0.88,0.857,0.073,0.15,0.8,0.143,minor repetitive over-specification,"The actions and reasons are coherent for a simple meet-up at the correct cafe, though the repeated interact/wait steps make the trace feel slightly scripted rather than naturally adaptive."
social_copresence_event_window,api_llm_react_tool_policy,0.97,0.82,0.96,0.88,1.0,0.0,0.15,1.0,0.0,slight goal-padding before meeting,"The actions and reasons are locally sensible and the timeline reaches Casey within the window, though the extra service step feels a bit contrived for a simple catch-up."
social_copresence_event_window,api_llm_plan_and_execute,0.97,0.68,0.93,0.9,1.0,0.0,0.29,1.0,0.0,time-window drift,"The plan and reasons sound natural for a short city errand, but the sequence slightly drifts past the meeting start and includes a repetitive buy-enter-wait structure that weakens full-trace realism."
social_copresence_event_window,gatsim_official_planner,0.84,0.46,0.93,0.63,1.0,0.0,0.38,1.0,0.0,plan drift and late arrival,"The steps sound locally reasonable for a city demo, but the trace spends time on generic GATSim activity and only reaches the social goal right at the window boundary, making the overall behavior less believable as successful urban action."
social_copresence_event_window,sotopia_official_llm_agent,0.72,0.32,0.28,0.34,0.8,0.0,0.4,0.2,0.2,goal drift and unparseable finish,"The movement to the market is locally plausible, but the trace drifts through unrelated stops, never expresses the intended meeting, and ends with an unparseable action instead of a believable social encounter."
social_copresence_event_window,generative_agents_official_planner,0.83,0.58,0.47,0.72,0.857,0.0,0.25,0.7,0.143,generic adapter actions and weak goal alignment,"The movement to the market and brief interaction are locally plausible, but the trace looks mechanically generated, includes unnecessary detours and dwell time, and the stated reasons do not meaningfully explain the behavior."
