task_id,task_family,model,success,expected_answer,predicted_answer,correct,evidence_metric,prompt_position,base_task_family
comp_01_plaza_center_vs_vault_cell__system_prefix,prompt_position,gpt54,True,plaza_center,plaza_center,True,integration,system_prefix,comprehension
comp_01_plaza_center_vs_vault_cell__memory_suffix,prompt_position,gpt54,True,plaza_center,plaza_center,True,integration,memory_suffix,comprehension
comp_01_plaza_center_vs_vault_cell__action_context,prompt_position,gpt54,True,plaza_center,plaza_center,True,integration,action_context,comprehension
comp_02_east_arcade_vs_herb_cloister__system_prefix,prompt_position,gpt54,True,east_arcade,east_arcade,True,integration,system_prefix,comprehension
comp_02_east_arcade_vs_herb_cloister__memory_suffix,prompt_position,gpt54,True,east_arcade,east_arcade,True,integration,memory_suffix,comprehension
comp_02_east_arcade_vs_herb_cloister__action_context,prompt_position,gpt54,True,east_arcade,east_arcade,True,integration,action_context,comprehension
comp_03_market_lane_vs_guard_tower__system_prefix,prompt_position,gpt54,True,market_lane,market_lane,True,integration,system_prefix,comprehension
comp_03_market_lane_vs_guard_tower__memory_suffix,prompt_position,gpt54,True,market_lane,market_lane,True,integration,memory_suffix,comprehension
comp_03_market_lane_vs_guard_tower__action_context,prompt_position,gpt54,True,market_lane,market_lane,True,integration,action_context,comprehension
beh_01_guard_tower_vs_plaza_center__system_prefix,prompt_position,gpt54,True,guard_tower,guard_tower,True,mean_depth,system_prefix,behavioral_inference
beh_01_guard_tower_vs_plaza_center__memory_suffix,prompt_position,gpt54,True,guard_tower,guard_tower,True,mean_depth,memory_suffix,behavioral_inference
beh_01_guard_tower_vs_plaza_center__action_context,prompt_position,gpt54,True,guard_tower,guard_tower,True,mean_depth,action_context,behavioral_inference
beh_02_herb_cloister_vs_north_avenue__system_prefix,prompt_position,gpt54,True,herb_cloister,herb_cloister,True,mean_depth,system_prefix,behavioral_inference
beh_02_herb_cloister_vs_north_avenue__memory_suffix,prompt_position,gpt54,True,herb_cloister,herb_cloister,True,mean_depth,memory_suffix,behavioral_inference
beh_02_herb_cloister_vs_north_avenue__action_context,prompt_position,gpt54,True,herb_cloister,herb_cloister,True,mean_depth,action_context,behavioral_inference
beh_03_vault_cell_vs_market_lane__system_prefix,prompt_position,gpt54,True,vault_cell,vault_cell,True,mean_depth,system_prefix,behavioral_inference
beh_03_vault_cell_vs_market_lane__memory_suffix,prompt_position,gpt54,True,vault_cell,vault_cell,True,mean_depth,memory_suffix,behavioral_inference
beh_03_vault_cell_vs_market_lane__action_context,prompt_position,gpt54,True,vault_cell,vault_cell,True,mean_depth,action_context,behavioral_inference
